Site_Name,Contract_ID,specialist_site_type_code,Num_13_full,Den_13_full
AimBig Employment AITKENVALE,0212804K,MENH,16,123
AimBig Employment AITKENVALE,0212805A,MUSK,9,17
AimBig Employment AUBURN,0212841E,AALL,29,117
AimBig Employment AUBURN,0212898K,AALL,10,82
AimBig Employment BALLARAT CENTRAL,0212859D,MENH,3,51
AimBig Employment BALLARAT CENTRAL,0212860H,MUSK,1,1
AimBig Employment BANKSTOWN,0212839K,MENH,24,165
AimBig Employment BANKSTOWN,0212840D,MUSK,9,115
AimBig Employment BAULKHAM HILLS,0212841E,AALL,11,73
AimBig Employment BAULKHAM HILLS,0212898K,AALL,23,135
AimBig Employment BENDIGO,0212858C,AALL,16,24
AimBig Employment BENDIGO,0212894G,AALL,6,54
AimBig Employment BERRIMAH,0212830B,AALL,6,38
AimBig Employment BERRIMAH,0212891D,AALL,5,45
AimBig Employment BLACKTOWN,0212853J,MENH,0,32
AimBig Employment BLACKTOWN,0212854K,MUSK,1,1
AimBig Employment BONDI JUNCTION,0212842F,(blank),10,50
AimBig Employment BONDI JUNCTION,0212843G,MUSK,11,83
AimBig Employment BROADMEADOW,0212815C,AALL,18,122
AimBig Employment BROADMEADOW,0212884E,AALL,21,195
AimBig Employment BROADMEADOWS,0212817E,AALL,34,122
AimBig Employment BROADMEADOWS,0212886G,AALL,29,85
AimBig Employment BROOKVALE,0212851G,(blank),2,6
AimBig Employment BROOKVALE,0212852H,(blank),3,23
AimBig Employment BUNBURY,0212810J,MENH,4,28
AimBig Employment BUNBURY,0212811K,(blank),3,27
AimBig Employment BURLEIGH HEADS,0212793B,MENH,23,156
AimBig Employment BURLEIGH HEADS,0212794C,(blank),3,59
AimBig Employment BURWOOD,0212846K,MENH,35,147
AimBig Employment BURWOOD,0212847K,MUSK,12,60
AimBig Employment CABRAMATTA,0212844H,AALL,62,348
AimBig Employment CABRAMATTA,0212899A,AALL,22,188
AimBig Employment CAIRNS CITY,0212798G,MENH,28,172
AimBig Employment CAIRNS CITY,0212799H,MUSK,9,49
AimBig Employment CALOUNDRA,0212874C,(blank),4,66
AimBig Employment CALOUNDRA,0212875D,MUSK,5,21
AimBig Employment CAMPBELLTOWN,0212849B,AALL,34,264
AimBig Employment CAMPBELLTOWN,0212902B,AALL,20,198
AimBig Employment CAMPBELLTOWN,0212903C,(blank),0,8
AimBig Employment CAMPSIE,0212839K,MENH,14,53
AimBig Employment CAMPSIE,0212840D,MUSK,5,37
AimBig Employment CAPALABA,0212796E,(blank),1,1
AimBig Employment CASINO,0212829J,AALL,5,37
AimBig Employment CASINO,0212890C,(blank),2,2
AimBig Employment CASUARINA,0212830B,AALL,4,4
AimBig Employment CASUARINA,0212891D,AALL,7,15
AimBig Employment CESSNOCK,0212813A,AALL,13,60
AimBig Employment CESSNOCK,0212882C,AALL,16,56
AimBig Employment CHARLESTOWN,0212815C,AALL,2,10
AimBig Employment CHARLESTOWN,0212884E,AALL,4,20
AimBig Employment CHATSWOOD,0212851G,(blank),4,36
