Site_Name,Contract_ID,specialist_site_type_code,Num_26_full,Den_26_full,Num_26_path,Den_26_path,Num_26_wrkast,Den_26_wrkast
AimBig Employment AITKENVALE,0212804K,MENH,17.0,57.0,1.0,41.0,0.0,0.0
AimBig Employment AITKENVALE,0212805A,MUSK,6.0,22.0,1.0,17.0,0.0,0.0
AimBig Employment AUBURN,0212841E,AALL,17.0,76.0,0.0,59.0,0.0,0.0
AimBig Employment AUBURN,0212898K,AALL,8.0,40.0,0.0,32.0,0.0,0.0
AimBig Employment BALLARAT CENTRAL,0212859D,MENH,3.0,19.0,0.0,16.0,0.0,0.0
AimBig Employment BALLARAT CENTRAL,0212860H,MUSK,0.0,0.0,0.0,0.0,0.0,0.0
AimBig Employment BANKSTOWN,0212839K,MENH,17.0,148.0,0.0,131.0,0.0,0.0
AimBig Employment BANKSTOWN,0212840D,MUSK,4.0,53.0,0.0,49.0,0.0,0.0
AimBig Employment BAULKHAM HILLS,0212841E,AALL,8.0,40.0,0.0,32.0,0.0,0.0
AimBig Employment BAULKHAM HILLS,0212898K,AALL,12.0,61.0,0.0,49.0,0.0,0.0
AimBig Employment BENDIGO,0212858C,AALL,11.0,11.0,0.0,0.0,0.0,0.0
AimBig Employment BENDIGO,0212894G,AALL,8.0,16.0,0.0,8.0,0.0,0.0
AimBig Employment BERRIMAH,0212830B,AALL,8.0,32.0,0.0,24.0,0.0,0.0
AimBig Employment BERRIMAH,0212891D,AALL,3.0,19.0,0.0,16.0,0.0,0.0
AimBig Employment BLACKTOWN,0212853J,MENH,0.0,8.0,0.0,8.0,0.0,0.0
AimBig Employment BLACKTOWN,0212854K,MUSK,1.0,1.0,0.0,0.0,0.0,0.0
AimBig Employment BONDI JUNCTION,0212842F,(blank),7.0,31.0,0.0,24.0,0.0,0.0
AimBig Employment BONDI JUNCTION,0212843G,MUSK,8.0,57.0,0.0,49.0,0.0,0.0
AimBig Employment BROADMEADOW,0212815C,AALL,16.0,32.0,1.0,17.0,0.0,0.0
AimBig Employment BROADMEADOW,0212884E,AALL,12.0,103.0,0.0,91.0,0.0,0.0
AimBig Employment BROADMEADOWS,0212817E,AALL,31.0,57.0,1.0,27.0,0.0,0.0
AimBig Employment BROADMEADOWS,0212886G,AALL,22.0,78.0,0.0,56.0,0.0,0.0
AimBig Employment BROOKVALE,0212851G,(blank),0.0,8.0,0.0,8.0,0.0,0.0
AimBig Employment BROOKVALE,0212852H,(blank),2.0,18.0,0.0,16.0,0.0,0.0
AimBig Employment BUNBURY,0212810J,MENH,2.0,26.0,0.0,24.0,0.0,0.0
AimBig Employment BUNBURY,0212811K,(blank),3.0,11.0,0.0,8.0,0.0,0.0
AimBig Employment BURLEIGH HEADS,0212793B,MENH,24.0,95.0,1.0,72.0,0.0,0.0
AimBig Employment BURLEIGH HEADS,0212794C,(blank),3.0,3.0,0.0,0.0,0.0,0.0
AimBig Employment BURWOOD,0212846K,MENH,31.0,63.0,0.0,32.0,0.0,0.0
AimBig Employment BURWOOD,0212847K,MUSK,9.0,17.0,0.0,8.0,0.0,0.0
AimBig Employment CABRAMATTA,0212844H,AALL,57.0,282.0,0.0,225.0,0.0,0.0
AimBig Employment CABRAMATTA,0212899A,AALL,15.0,134.0,0.0,119.0,0.0,0.0
AimBig Employment CAIRNS CITY,0212798G,MENH,22.0,82.0,2.0,62.0,0.0,0.0
AimBig Employment CAIRNS CITY,0212799H,MUSK,7.0,31.0,0.0,24.0,0.0,0.0
AimBig Employment CALOUNDRA,0212874C,(blank),4.0,36.0,1.0,33.0,0.0,0.0
AimBig Employment CALOUNDRA,0212875D,MUSK,5.0,5.0,0.0,0.0,0.0,0.0
AimBig Employment CAMPBELLTOWN,0212849B,AALL,32.0,199.0,0.0,167.0,0.0,0.0
