,Job_Seeker_ID,Num_13,Den_13,Site_Name,Contract_ID,specialist_site_type_code,Num_13_full,Den_13_full
0,9760997019,,,AimBig Employment BALLARAT CENTRAL,0212859D,MENH,0.0,0.0
0,856227009,,,AimBig Employment BALLARAT CENTRAL,0212859D,MENH,0.0,2.0
0,4507850,,,AimBig Employment BALLARAT CENTRAL,0212859D,MENH,0.0,3.0
0,9693650007,,,AimBig Employment BALLARAT CENTRAL,0212860H,MUSK,1.0,1.0
0,9911477809,,,AimBig Employment BALLARAT CENTRAL,0212859D,MENH,1.0,1.0
0,595379509,,,AimBig Employment BALLARAT CENTRAL,0212859D,MENH,0.0,3.0
0,450740,,,AimBig Employment BALLARAT CENTRAL,0212859D,MENH,0.0,7.0
0,17735970,,,AimBig Employment BALLARAT CENTRAL,0212859D,MENH,1.0,1.0
0,7585126909,,,AimBig Employment BALLARAT CENTRAL,0212859D,MENH,1.0,1.0
0,9728680007,,,AimBig Employment BALLARAT CENTRAL,0212859D,MENH,0.0,0.0
0,1046270,,,AimBig Employment BALLARAT CENTRAL,0212859D,MENH,0.0,1.0
