,Job_Seeker_ID,Num_13,Den_13,Site_Name,Contract_ID,specialist_site_type_code
0,9386301003,0,0,AimBig Employment WOY WOY,0212812K,AALL
0,8653691003,0,0,AimBig Employment FAIRFIELD,0212899A,AALL
0,7870290004,0,0,AimBig Employment NORTH LAKES,0212795D,AALL
0,6638331004,0,0,AimBig Employment NORTH LAKES,0212795D,AALL
0,2580218019,0,0,AimBig Employment LEICHHARDT,0212900K,AALL
0,8538100019,0,0,AimBig Employment LEICHHARDT,0212845J,AALL
0,9277440019,0,0,AimBig Employment BERRIMAH,0212830B,AALL
0,687762409,0,0,AimBig Employment LEICHHARDT,0212845J,AALL
0,3476477809,0,4,AimBig Employment BURWOOD,0212846K,MENH
0,693930,0,0,AimBig Employment CAMPBELLTOWN,0212849B,AALL
0,758170509,0,0,AimBig Employment PARRAMATTA,0212898K,AALL
0,861639909,0,0,AimBig Employment KANWAL,0212812K,AALL
0,6590743003,0,0,AimBig Employment LEICHHARDT,0212845J,AALL
0,4449170004,0,0,AimBig Employment ROMA,0212838K,AALL
0,1402890004,0,0,AimBig Employment CHERMSIDE,0212879H,AALL
0,7922400909,0,0,AimBig Employment WYONG,0212881B,AALL
0,9923186409,0,0,AimBig Employment ETTALONG BEACH,0212812K,AALL
0,2464218019,0,2,AimBig Employment ROCKHAMPTON CITY,0212801H,MUSK
0,9331683119,0,0,AimBig Employment MARRICKVILLE,0212845J,AALL
0,6091507509,0,0,AimBig Employment WOOLLOONGABBA,0212797F,(blank)
0,124851004,0,2,AimBig Employment ROMA,0212897K,AALL
0,3210074019,0,0,AimBig Employment BANKSTOWN,0212839K,MENH
0,5023452809,0,2,AimBig Employment DARLINGHURST,0212900K,AALL
0,3921020003,0,2,AimBig Employment CABRAMATTA,0212844H,AALL
0,1272832119,0,2,AimBig Employment DEAKIN,0212835G,(blank)
0,846010309,0,2,AimBig Employment ETTALONG BEACH,0212812K,AALL
0,5190478609,0,1,AimBig Employment CHERMSIDE,0212795D,AALL
0,2981440909,0,2,AimBig Employment BONDI JUNCTION,0212842F,(blank)
0,6410979019,0,1,AimBig Employment NORTH LAKES,0212795D,AALL
0,5861201119,0,0,AimBig Employment ROSNY PARK,0212892E,(blank)
0,4575284209,0,0,AimBig Employment GLENORCHY,0212861J,AALL
0,8951946909,0,3,AimBig Employment PROSPECT,0212789F,(blank)
0,6742073509,0,1,AimBig Employment BONDI JUNCTION,0212842F,(blank)
0,9470522003,0,0,AimBig Employment GOSFORD,0212812K,AALL
0,2531607019,0,1,AimBig Employment LEICHHARDT,0212845J,AALL
0,6571650909,0,2,AimBig Employment MIRANDA,0212855K,AALL
0,1210848909,0,1,AimBig Employment PENRITH,0212903C,(blank)
0,1686955509,0,8,AimBig Employment GLENORCHY,0212861J,AALL
0,9114093109,0,4,AimBig Employment ROCKINGHAM,0212832D,MUSK
0,4272675019,0,1,AimBig Employment ROMA,0212897K,AALL
0,739250,0,6,AimBig Employment AITKENVALE,0212804K,MENH
0,2505075709,0,2,AimBig Employment CESSNOCK,0212813A,AALL
0,436699709,0,2,AimBig Employment BROADMEADOW,0212815C,AALL
0,1096930,0,1,AimBig Employment BROOKVALE,0212851G,(blank)
0,397637009,0,1,AimBig Employment BURWOOD,0212846K,MENH
0,4822192119,0,2,AimBig Employment NORTH LAKES,0212795D,AALL
0,1119440,0,2,AimBig Employment HYDE PARK,0212804K,MENH
0,121090,0,4,AimBig Employment ORANGE,0212873B,MUSK
0,8773315509,0,8,AimBig Employment BURWOOD,0212846K,MENH
0,2299994003,0,1,AimBig Employment CAMPSIE,0212839K,MENH
0,7272646909,0,0,AimBig Employment NORTH LAKES,0212795D,AALL
0,4562087019,0,2,AimBig Employment PENRITH,0212903C,(blank)
0,1070820,0,3,AimBig Employment BAULKHAM HILLS,0212898K,AALL
0,6515662709,0,1,AimBig Employment NORTH LAKES,0212795D,AALL
0,4352989019,0,2,AimBig Employment NORTH LAKES,0212795D,AALL
0,892340007,0,1,AimBig Employment MOONEE PONDS,0212886G,AALL
0,946100002,0,1,AimBig Employment DEAKIN,0212836H,MUSK
0,5313574009,0,1,AimBig Employment BERRIMAH,0212891D,AALL
0,3992961119,0,1,AimBig Employment SINGLETON,0212816D,AALL
0,3554655109,0,2,AimBig Employment CHERMSIDE,0212795D,AALL
0,3801646509,0,1,AimBig Employment CESSNOCK,0212813A,AALL
0,8228603709,0,2,AimBig Employment FAIRFIELD,0212844H,AALL
0,4627938409,0,2,AimBig Employment ROCKHAMPTON CITY,0212800G,MENH
0,1546165409,0,2,AimBig Employment ROCKHAMPTON CITY,0212800G,MENH
0,5504924009,0,1,AimBig Employment MILES,0212897K,AALL
0,6783241709,0,1,AimBig Employment CHINCHILLA,0212838K,AALL
0,1464185109,0,8,AimBig Employment BURWOOD,0212846K,MENH
0,4777060709,0,2,AimBig Employment MOONEE PONDS,0212817E,AALL
0,7982571309,0,1,AimBig Employment MOONEE PONDS,0212817E,AALL
0,3739141609,0,1,AimBig Employment SURRY HILLS,0212845J,AALL
0,7069969909,0,2,AimBig Employment NAMBUCCA HEADS,0212887H,(blank)
0,981822909,0,1,AimBig Employment ETTALONG BEACH,0212812K,AALL
0,7855642709,0,1,AimBig Employment TAMWORTH,0212814B,AALL
0,8763500001,0,1,AimBig Employment BERRIMAH,0212830B,AALL
0,2551078809,0,1,AimBig Employment GUNNEDAH,0212883D,(blank)
0,9955621004,0,2,AimBig Employment WANGURI,0212830B,AALL
0,9059492003,0,2,AimBig Employment KANWAL,0212881B,AALL
0,310192119,0,1,AimBig Employment MELBOURNE,0212825E,MUSK
0,5376251019,0,2,AimBig Employment INVERELL,0212889K,AALL
0,5665601409,0,0,AimBig Employment DALBY,0212897K,AALL
0,3249673003,0,5,AimBig Employment CAMPBELLTOWN,0212902B,AALL
0,8235544019,0,2,AimBig Employment PARRAMATTA,0212841E,AALL
0,8138165709,0,8,AimBig Employment HURSTVILLE,0212904D,AALL
0,1861952109,0,0,,,
0,2382232004,0,1,AimBig Employment CHERMSIDE,0212795D,AALL
0,1780734119,0,4,AimBig Employment MARRICKVILLE,0212900K,AALL
0,7394980004,0,6,AimBig Employment INVERELL,0212828H,AALL
0,3929780019,0,2,AimBig Employment MIRANDA,0212904D,AALL
0,5866494003,0,5,AimBig Employment LISMORE,0212829J,AALL
0,1186325409,0,1,AimBig Employment WERRIBEE,0212822B,MENH
0,3919794709,0,6,AimBig Employment BENDIGO,0212858C,AALL
0,406221709,0,4,AimBig Employment DALBY,0212838K,AALL
0,5769902004,0,1,,,
0,4039013609,0,1,AimBig Employment PARRAMATTA,0212898K,AALL
