,Job_Seeker_ID,Num_26_full,Den_26_full,Num_26_path,Den_26_path,Num_26_wrkast,Den_26_wrkast
0,6498977509,0,0,,,,
0,6638331004,1,1,,,,
0,1285516019,0,0,,,,
0,3476477809,0,0,,,,
0,3210074019,1,1,,,,
0,6638544009,0,0,,,,
0,892340007,0,1,,,,
0,1464185109,0,1,,,,
0,8138165709,0,0,,,,
0,119181019,0,0,,,,
0,7362250909,1,1,,,,
0,2822398909,1,1,,,,
0,6793474009,1,1,,,,
0,6206761009,1,1,,,,
0,1564000004,0,0,,,,
0,9397210009,1,1,,,,
0,7127115007,1,1,,,,
0,245320004,0,0,,,,
0,3263553109,1,1,,,,
0,5545251003,0,0,,,,
0,6343615019,1,1,,,,
0,405090,1,1,,,,
0,9298105909,,,1,1,,
0,950033019,1,1,,,,
0,237509909,1,1,,,,
0,968675004,1,1,,,,
0,6313636909,1,1,,,,
0,4937869409,0,0,,,,
0,1284681019,1,1,,,,
0,7428106909,0,0,,,,
0,7395582003,0,0,,,,
0,106002007,0,0,,,,
0,595178909,1,1,,,,
0,4841209309,0,0,,,,
0,2087580,1,1,,,,
0,2127597209,1,1,,,,
0,795844509,1,1,,,,
0,7751045609,1,1,,,,
0,1736092909,1,1,,,,
0,1669950,0,0,,,,
0,1528323509,1,1,,,,
0,5256988409,,,1,1,,
0,330583209,,,1,1,,
0,3425440809,0,0,,,,
0,1949890,1,1,,,,
0,7132998609,0,0,,,,
0,2583711409,,,1,1,,
0,2270394909,1,1,,,,
0,5962000909,0,0,,,,
0,4041779909,0,0,,,,
0,168470,0,0,,,,
0,2906981209,1,1,,,,
0,1441912909,0,0,,,,
0,8399561109,1,1,,,,
0,536024109,0,0,,,,
0,1498320,0,0,,,,
0,754420019,0,0,,,,
0,827100,1,1,,,,
0,746690007,0,0,,,,
0,1018590,0,0,,,,
0,7257571109,0,1,,,,
0,1992466003,0,0,,,,
0,1771355909,1,1,,,,
0,1181202007,1,1,,,,
0,3729586109,1,1,,,,
0,1294682809,0,0,,,,
0,5364190003,0,0,,,,
0,7178454509,0,0,,,,
0,2874991709,1,1,,,,
0,2794884609,0,0,,,,
0,9848289709,0,0,,,,
0,2238901019,0,1,,,,
0,17130008,,,1,1,,
0,611112003,1,1,,,,
0,367232609,1,1,,,,
0,81464909,1,1,,,,
0,6664240709,0,1,,,,
0,1898155109,0,0,,,,
0,1207286909,0,0,,,,
0,8989064909,1,1,,,,
0,3186417909,1,1,,,,
0,3452110004,0,1,,,,
0,218487409,1,1,,,,
0,5009784003,1,1,,,,
0,2994078909,0,0,,,,
0,5390583509,1,1,,,,
0,3618650,1,1,,,,
0,1652754119,1,1,,,,
0,3613820,0,0,,,,
0,170802809,1,1,,,,
0,2564677109,1,1,,,,
0,344028609,1,1,,,,
0,7619946003,0,0,,,,
0,2083150,1,1,,,,
0,6875573709,1,1,,,,
0,696892007,0,0,,,,
0,9925143509,1,1,,,,
0,5039124609,1,1,,,,
0,9728680007,1,1,,,,
0,965598709,1,1,,,,
0,3606070,1,1,,,,
0,2758041809,0,0,,,,
0,2952040,1,1,,,,
0,5151597809,1,1,,,,
0,4597760309,1,1,,,,
0,2940200709,1,1,,,,
0,7006568909,0,0,,,,
0,2289512609,1,1,,,,
0,6167997909,1,1,,,,
0,515141809,0,0,,,,
0,9385715709,0,0,,,,
0,938874809,1,1,,,,
0,9442318209,1,1,,,,
0,7882407009,0,0,,,,
0,2160608609,1,1,,,,
0,2579976809,0,0,,,,
0,938250,1,1,,,,
0,4128040,1,1,,,,
0,1237048409,1,1,,,,
0,5791165003,0,0,,,,
0,9009509,1,1,,,,
0,4115450,1,1,,,,
0,2673066019,1,1,,,,
0,3245767609,0,0,,,,
0,4862873019,0,0,,,,
0,6321830609,0,0,,,,
0,3126820007,0,0,,,,
0,8427270003,1,1,,,,
0,1802931909,0,0,,,,
0,621778709,0,0,,,,
0,361981209,1,1,,,,
0,923303003,1,1,,,,
0,3940645809,1,1,,,,
0,6027122008,1,1,,,,
0,1748832003,1,1,,,,
0,396060019,,,0,0,,
0,433401709,1,1,,,,
0,6010314209,1,1,,,,
0,3735001005,0,0,,,,
0,7656521509,0,0,,,,
0,8195891005,0,0,,,,
0,3089732109,1,1,,,,
0,8782238003,0,1,,,,
0,1708180008,1,1,,,,
0,6094030209,1,1,,,,
0,6164843509,0,0,,,,
0,4686320,1,1,,,,
0,6616595609,1,1,,,,
0,7416096609,1,1,,,,
0,4401190003,0,0,,,,
0,3577440,1,1,,,,
0,5668805509,1,1,,,,
0,298838909,0,0,,,,
0,950144019,0,0,,,,
0,3956987003,0,0,,,,
0,8270746309,0,1,,,,
0,8764586003,0,1,,,,
0,566125209,1,1,,,,
0,3357110609,0,0,,,,
0,8757872003,0,0,,,,
0,8156846009,0,1,,,,
0,1529456609,0,0,,,,
0,7599640004,0,0,,,,
0,7633237109,0,1,,,,
0,5397294909,0,1,,,,
0,1312469209,1,1,,,,
0,7702531005,1,1,,,,
0,1456648709,1,1,,,,
0,8679245003,0,0,,,,
0,2257900,1,1,,,,
0,7317073409,1,1,,,,
0,5580798019,0,0,,,,
0,7421895209,0,1,,,,
0,9616140005,1,1,,,,
0,879227309,1,1,,,,
0,5843063009,0,0,,,,
0,7502610006,0,1,,,,
0,6352951119,0,0,,,,
0,207974909,1,1,,,,
0,1479456509,0,0,,,,
0,2677090,0,1,,,,
0,8737502509,0,0,,,,
0,3428242509,0,0,,,,
0,6101092709,0,0,,,,
0,3697795909,0,0,,,,
0,2811734003,0,0,,,,
0,9335801009,0,0,,,,
0,331376809,0,1,,,,
0,4049970,0,0,,,,
0,7807372709,0,1,,,,
0,6811012809,0,0,,,,
0,5864701008,0,0,,,,
0,786993609,1,1,,,,
0,3694620,1,1,,,,
0,815575003,0,0,,,,
0,4132690,0,0,,,,
0,1393863003,0,0,,,,
0,4764276019,0,1,,,,
0,145458909,0,1,,,,
0,7641451309,0,0,,,,
0,3377750003,0,0,,,,
0,8308143109,0,0,,,,
0,9604135709,1,1,,,,
0,2174359409,0,1,,,,
0,9885151309,0,0,,,,
0,116497209,0,0,,,,
0,5232840609,0,1,,,,
0,494502019,0,0,,,,
0,959268509,0,0,,,,
0,8487438909,0,0,,,,
0,1028421004,1,1,,,,
0,2703826109,1,1,,,,
0,298864019,0,1,,,,
0,930250909,0,1,,,,
0,9720906003,1,1,,,,
0,5620436003,1,1,,,,
0,3170760019,0,0,,,,
0,5586763909,0,1,,,,
0,425378909,1,1,,,,
0,5175440,0,1,,,,
0,6038315309,0,0,,,,
0,3093935004,1,1,,,,
