Contract_ID,Site_Name,specialist_site_type_code,Num_13_full,Den_13_full,Num_26_full,Den_26_full,Num_26_path,Den_26_path,Num_26_wrkast,Den_26_wrkast,Num_52_full,Den_52_full,Num_52_path,Den_52_path
0212789F,AimBig Employment PROSPECT,(blank),0,22,1.0,41.0,0.0,5.0,0.0,0.0,2.0,42.0,0.0,0.0
0212790K,AimBig Employment PROSPECT,MUSK,0,15,1.0,17.0,0.0,2.0,0.0,0.0,0.0,16.0,0.0,0.0
0212791K,AimBig Employment MILE END,MENH,0,15,1.0,25.0,1.0,11.0,0.0,0.0,1.0,25.0,0.0,0.0
0212791K,AimBig Employment Pty Ltd. SEATON,MENH,0,6,0.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
0212792A,AimBig Employment MILE END,(blank),0,4,1.0,25.0,0.0,3.0,0.0,0.0,0.0,24.0,0.0,0.0
0212793B,AimBig Employment BURLEIGH HEADS,MENH,0,43,3.0,43.0,0.0,5.0,0.0,0.0,4.0,36.0,0.0,0.0
0212793B,AimBig Employment NERANG,MENH,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0212793B,AimBig Employment SOUTHPORT,MENH,0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0212793B,AimBig Employment SURFERS PARADISE,MENH,0,28,1.0,25.0,0.0,3.0,0.0,0.0,0.0,24.0,0.0,0.0
0212794C,AimBig Employment BURLEIGH HEADS,(blank),0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0212794C,AimBig Employment SURFERS PARADISE,(blank),0,26,0.0,16.0,0.0,2.0,0.0,0.0,2.0,18.0,0.0,0.0
0212795D,AimBig Employment CHERMSIDE,AALL,0,33,2.0,58.0,1.0,11.0,0.0,0.0,1.0,57.0,0.0,0.0
0212795D,AimBig Employment FORTITUDE VALLEY,AALL,0,20,0.0,8.0,1.0,3.0,0.0,0.0,0.0,8.0,0.0,0.0
0212795D,AimBig Employment MITCHELTON,AALL,0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0212795D,AimBig Employment NORTH LAKES,AALL,0,92,5.0,77.0,3.0,18.0,0.0,0.0,5.0,77.0,1.0,1.0
0212795D,AimBig Employment STRATHPINE,AALL,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0212795D,AimBig Employment TOOWONG,AALL,0,66,4.0,4.0,2.0,6.0,0.0,0.0,4.0,4.0,2.0,3.0
0212796E,AimBig Employment INALA,(blank),0,15,0.0,40.0,0.0,5.0,0.0,0.0,0.0,40.0,0.0,0.0
0212796E,AimBig Employment UPPER MOUNT GRAVATT,(blank),0,42,2.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0212796E,AimBig Employment WOOLLOONGABBA,(blank),0,6,1.0,33.0,0.0,4.0,0.0,0.0,1.0,33.0,0.0,0.0
0212797F,AimBig Employment INALA,(blank),0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0212797F,AimBig Employment UPPER MOUNT GRAVATT,(blank),0,6,0.0,24.0,0.0,3.0,0.0,0.0,0.0,24.0,0.0,0.0
