,CONTRACT_ID,SITE_CODE,SPECIALTY_CD,SITE_NAME,PERFORMANCE_MEASURES,ALL_ORG_NAT_AVG,52_full_avg,52_path_avg,26_wrkast_avg,26_full_avg,26_path_avg,13_full_avg
80,0212789F,FV28,MENH,AimBig Employment MAYLANDS,52 Week Full Outcomes,15.7,15.7,0.0,0.0,0.0,0.0,0.0
83,0212789F,MO87,MENH,AimBig Employment PROSPECT,52 Week Full Outcomes,15.7,15.7,0.0,0.0,0.0,0.0,0.0
84,0212789F,MO87,MENH,AimBig Employment PROSPECT,26 Week Full Outcomes,22.8,0.0,0.0,0.0,22.8,0.0,0.0
85,0212789F,MO87,MENH,AimBig Employment PROSPECT,13 Week Full Outcomes,24.0,0.0,0.0,0.0,0.0,0.0,24.0
86,0212789F,FV28,MENH,AimBig Employment MAYLANDS,13 Week Full Outcomes,24.0,0.0,0.0,0.0,0.0,0.0,24.0
87,0212789F,FV28,MENH,AimBig Employment MAYLANDS,26 Week Full Outcomes,22.8,0.0,0.0,0.0,22.8,0.0,0.0
88,0212789F,FV18,MENH,AimBig Employment DULWICH,26 Week Full Outcomes,22.8,0.0,0.0,0.0,22.8,0.0,0.0
89,0212789F,FV18,MENH,AimBig Employment DULWICH,13 Week Full Outcomes,24.0,0.0,0.0,0.0,0.0,0.0,24.0
90,0212789F,FV28,MENH,AimBig Employment MAYLANDS,26 Week Bonus Outcomes,73.7,0.0,0.0,0.0,0.0,0.0,0.0
91,0212789F,FV18,MENH,AimBig Employment DULWICH,26 Week Bonus Outcomes,73.7,0.0,0.0,0.0,0.0,0.0,0.0
92,0212789F,FV28,MENH,AimBig Employment MAYLANDS,52 Week Pathway Outcomes,1.1,0.0,1.1,0.0,0.0,0.0,0.0
93,0212789F,FV18,MENH,AimBig Employment DULWICH,52 Week Pathway Outcomes,1.1,0.0,1.1,0.0,0.0,0.0,0.0
94,0212790K,FV18,MUSK,AimBig Employment DULWICH,52 Week Pathway Outcomes,1.1,0.0,1.1,0.0,0.0,0.0,0.0
95,0212790K,FV28,MUSK,AimBig Employment MAYLANDS,52 Week Pathway Outcomes,1.1,0.0,1.1,0.0,0.0,0.0,0.0
96,0212789F,FV28,MENH,AimBig Employment MAYLANDS,26 Week Bonus Outcomes/Work Assist,71.9,0.0,0.0,71.9,0.0,0.0,0.0
97,0212789F,FV18,MENH,AimBig Employment DULWICH,26 Week Bonus Outcomes/Work Assist,71.9,0.0,0.0,71.9,0.0,0.0,0.0
98,0212789F,FV28,MENH,AimBig Employment MAYLANDS,4 Week Outcomes,19.5,0.0,0.0,0.0,0.0,0.0,0.0
99,0212790K,MO87,MUSK,AimBig Employment PROSPECT,26 Week Full Outcomes,22.8,0.0,0.0,0.0,22.8,0.0,0.0
102,0212790K,MO87,MUSK,AimBig Employment PROSPECT,Ongoing Support,0.0,0.0,0.0,0.0,0.0,0.0,0.0
