Contract_ID,Site_Name,specialist_site_type_code,Den_13_full,Den_26_full,Den_26_path,Den_26_wrkast,Den_52_full,Den_52_path,Num_13_full_exp,Num_26_full_exp,Num_52_full_exp,Num_52_path_exp,Num_26_wrkast_exp,Num_26_path_exp,exPer_13_full,exPer_26_full,exPer_26_path,exPer_26_wrkast,exPer_52_full,exPer_52_path
0212789F,AimBig Employment NORWOOD,MENH,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,,,0.0,
0212789F,AimBig Employment PROSPECT,MENH,18.0,13.0,5.0,0.0,9.0,0.0,6.0,7.0,10.0,0.0,0.0,1.0,3.0,1.8571428571428572,5.0,,0.9,
0212790K,AimBig Employment NORWOOD,MUSK,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,,0.0,
0212790K,AimBig Employment PROSPECT,MUSK,4.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,4.0,1.0,,,0.5,
0212791K,AimBig Employment MILE END,MENH,13.0,9.0,4.0,0.0,4.0,0.0,6.0,8.0,8.0,0.0,0.0,1.0,2.1666666666666665,1.125,4.0,,0.5,
0212791K,AimBig Employment Pty Ltd. SEATON,MENH,3.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,3.0,1.0,1.0,,0.0,
0212793B,AimBig Employment BURLEIGH HEADS,MENH,11.0,7.0,3.0,0.0,3.0,0.0,7.0,4.0,3.0,0.0,0.0,1.0,1.5714285714285714,1.75,3.0,,1.0,
0212793B,AimBig Employment NERANG,MENH,8.0,3.0,0.0,0.0,1.0,0.0,4.0,2.0,3.0,1.0,0.0,0.0,2.0,1.5,,,0.3333333333333333,0.0
0212793B,AimBig Employment SOUTHPORT,MENH,5.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,5.0,1.0,,,0.0,0.0
0212793B,AimBig Employment SURFERS PARADISE,MENH,8.0,3.0,2.0,0.0,3.0,0.0,3.0,3.0,3.0,0.0,0.0,0.0,2.6666666666666665,1.0,inf,,1.0,
0212795D,AimBig Employment CHERMSIDE,AALL,8.0,8.0,5.0,0.0,6.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,8.0,4.0,inf,,2.0,
0212795D,AimBig Employment FORTITUDE VALLEY,AALL,5.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,5.0,2.0,inf,,0.5,
0212795D,AimBig Employment MITCHELTON,AALL,11.0,5.0,1.0,0.0,4.0,0.0,4.0,5.0,7.0,0.0,0.0,0.0,2.75,1.0,inf,,0.5714285714285714,
0212795D,AimBig Employment NORTH LAKES,AALL,14.0,6.0,2.0,0.0,5.0,0.0,3.0,2.0,4.0,1.0,0.0,1.0,4.666666666666667,3.0,2.0,,1.25,0.0
0212795D,AimBig Employment STRATHPINE,AALL,3.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.5,inf,,,0.0,
0212795D,AimBig Employment TOOWONG,AALL,17.0,9.0,3.0,0.0,5.0,0.0,9.0,4.0,5.0,0.0,0.0,0.0,1.8888888888888888,2.25,inf,,1.0,
0212796E,AimBig Employment CAPALABA,MENH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
0212796E,AimBig Employment INALA,MENH,13.0,5.0,5.0,0.0,5.0,0.0,2.0,0.0,5.0,0.0,0.0,2.0,6.5,inf,2.5,,1.0,
0212796E,AimBig Employment UPPER MOUNT GRAVATT,MENH,6.0,3.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,0.0,0.0,0.0,6.0,1.5,,,0.0,
0212796E,AimBig Employment WOOLLOONGABBA,MENH,8.0,5.0,4.0,0.0,4.0,0.0,1.0,3.0,4.0,0.0,0.0,0.0,8.0,1.6666666666666667,inf,,1.0,
0212798G,AimBig Employment CAIRNS CITY,MENH,10.0,7.0,2.0,0.0,3.0,0.0,5.0,2.0,3.0,0.0,0.0,1.0,2.0,3.5,2.0,,1.0,
0212799H,AimBig Employment CAIRNS CITY,MUSK,4.0,2.0,0.0,0.0,3.0,0.0,3.0,2.0,3.0,0.0,0.0,0.0,1.3333333333333333,1.0,,,1.0,
0212800G,AimBig Employment ROCKHAMPTON CITY,MENH,3.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,,,0.0,
0212801H,AimBig Employment ROCKHAMPTON CITY,MUSK,5.0,1.0,1.0,0.0,1.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,2.5,0.5,inf,,0.5,
0212802J,AimBig Employment MACKAY,MENH,3.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,1.0,1.5,0.5,0.0,,0.0,
0212803K,AimBig Employment MACKAY,MUSK,5.0,1.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,2.5,1.0,inf,,1.0,
0212804K,AimBig Employment AITKENVALE,MENH,10.0,5.0,2.0,0.0,4.0,0.0,4.0,3.0,2.0,0.0,0.0,1.0,2.5,1.6666666666666667,2.0,,2.0,
0212805A,AimBig Employment AITKENVALE,MUSK,5.0,5.0,2.0,0.0,4.0,0.0,2.0,4.0,3.0,0.0,0.0,0.0,2.5,1.25,inf,,1.3333333333333333,
0212810J,AimBig Employment BUNBURY,MENH,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,
0212811K,AimBig Employment BUNBURY,MUSK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
0212812K,AimBig Employment ETTALONG BEACH,AALL,7.0,2.0,2.0,0.0,1.0,0.0,3.0,3.0,2.0,0.0,0.0,1.0,2.3333333333333335,0.6666666666666666,2.0,,0.5,
0212812K,AimBig Employment GOSFORD,AALL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
0212812K,AimBig Employment KANWAL,AALL,9.0,8.0,3.0,0.0,4.0,0.0,4.0,3.0,3.0,0.0,0.0,0.0,2.25,2.6666666666666665,inf,,1.3333333333333333,
0212812K,AimBig Employment THE ENTRANCE,AALL,4.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,inf,,,,
0212812K,AimBig Employment WOY WOY,AALL,7.0,5.0,0.0,0.0,1.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,3.5,2.5,,,0.5,
0212812K,AimBig Employment WYONG,AALL,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,inf,inf,,,0.0,
0212813A,AimBig Employment CESSNOCK,AALL,8.0,6.0,2.0,0.0,2.0,0.0,5.0,3.0,3.0,0.0,0.0,1.0,1.6,2.0,2.0,,0.6666666666666666,
0212813A,AimBig Employment MAITLAND,AALL,9.0,3.0,3.0,0.0,2.0,0.0,5.0,3.0,1.0,0.0,0.0,1.0,1.8,1.0,3.0,,2.0,
0212814B,AimBig Employment GUNNEDAH,AALL,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,,,,,
0212814B,AimBig Employment TAMWORTH,AALL,14.0,8.0,6.0,0.0,6.0,0.0,3.0,3.0,3.0,0.0,0.0,1.0,4.666666666666667,2.6666666666666665,6.0,,2.0,
0212815C,AimBig Employment BROADMEADOW,AALL,8.0,3.0,0.0,0.0,0.0,0.0,3.0,4.0,3.0,0.0,0.0,0.0,2.6666666666666665,0.75,,,0.0,
0212815C,AimBig Employment CHARLESTOWN,AALL,3.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,3.0,1.0,0.0,,0.0,
0212816D,AimBig Employment SINGLETON,AALL,5.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,inf,1.0,,,0.5,0.0
0212817E,AimBig Employment BROADMEADOWS,AALL,12.0,9.0,3.0,0.0,5.0,0.0,3.0,2.0,5.0,0.0,0.0,0.0,4.0,4.5,inf,,1.0,
0212817E,AimBig Employment CRAIGIEBURN,AALL,16.0,10.0,2.0,0.0,2.0,0.0,4.0,5.0,10.0,0.0,0.0,1.0,4.0,2.0,2.0,,0.2,
0212817E,AimBig Employment GLENROY,AALL,7.0,2.0,1.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,7.0,1.0,inf,,1.0,
0212817E,AimBig Employment MOONEE PONDS,AALL,26.0,14.0,11.0,0.0,13.0,0.0,8.0,4.0,12.0,0.0,0.0,2.0,3.25,3.5,5.5,,1.0833333333333333,
0212817E,AimBig Employment Pty Ltd SUNBURY,AALL,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,,0.0,,,
0212818F,AimBig Employment FRANKSTON,MENH,17.0,9.0,6.0,0.0,7.0,0.0,3.0,7.0,6.0,0.0,0.0,1.0,5.666666666666667,1.2857142857142858,6.0,,1.1666666666666667,
0212818F,AimBig Employment Pty Ltd CAPEL SOUND,MENH,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,inf,,inf,
0212818F,AimBig Employment Pty Ltd HASTINGS,MENH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
0212818F,AimBig Employment Pty Ltd MORNINGTON,MENH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
0212819G,AimBig Employment FRANKSTON,MUSK,6.0,3.0,2.0,0.0,4.0,0.0,3.0,3.0,3.0,0.0,0.0,0.0,2.0,1.0,inf,,1.3333333333333333,
