Program,ess_identifier,Contract ID,Site Code,Site Description,ESA Code,ESA Name,State,specialist_site_type_code
ESS,4194710,0212879H,MK77,AimBig Employment TOOWONG,4NOB,QLD North,QLD,
DMS,480930,,AC91,AimBig Employment BERRIMAH,4DAR,Northern Territory,NT,
DMS,1119440,0212804K,MN97,AimBig Employment HYDE PARK,4TOW,QLD North,QLD,
ESS,1270060,0212883D,AE21,AimBig Employment GUNNEDAH,4KEE,Northern NSW,NSW,
ESS,1450380,0212882C,AE51,AimBig Employment MAITLAND,4HUT,Newcastle/Hunter,NSW,
ESS,2042370,0212882C,AE51,AimBig Employment MAITLAND,4HUT,Newcastle/Hunter,NSW,
ESS,8826118809,0212900K,AA81,AimBig Employment LEICHHARDT,4INS,Eastern Sydney,NSW,
DMS,53520,0212820K,MN27,AimBig Employment HEIDELBERG,4PLE,Western Victoria,VIC,
DMS,111800,0212844H,AA91,AimBig Employment FAIRFIELD,4FAI,Western Sydney,NSW,
ESS,82960,0212881B,MK47,AimBig Employment THE ENTRANCE,4CEC,Central Coast NSW,NSW,
ESS,8649845809,0212890C,AD11,AimBig Employment LISMORE,4RIC,Northern NSW,NSW,
DMS,382770,0212840D,MM27,AimBig Employment CAMPSIE,4CAB,South East Sydney,NSW,
DMS,9239454809,0212861J,AC41,AimBig Employment HUONVILLE,4HOB,Tasmania,TAS,
DMS,2592940,0212844H,AA91,AimBig Employment FAIRFIELD,4FAI,Western Sydney,NSW,
ESS,168470,0212898K,AB31,AimBig Employment AUBURN,4CWS,Northern Sydney,NSW,AALL
DMS,2499350,0212791K,MO77,AimBig Employment MILE END,4WEA,South Australia,SA,
DMS,3549240,0212795D,MK77,AimBig Employment TOOWONG,4NOB,QLD North,QLD,
DMS,2707870,0212845J,AA51,AimBig Employment SURRY HILLS,4INS,Eastern Sydney,NSW,
DMS,451780,0212875D,MO37,AimBig Employment CALOUNDRA,4SUC,QLD North,QLD,MUSK
ESS,3613820,0212904D,A981,AimBig Employment HURSTVILLE,4SGS,South East Sydney,NSW,
DMS,3606070,0212846K,MM07,AimBig Employment BURWOOD,4INW,South East Sydney,NSW,MENH
DMS,618010,0212823C,MN07,AimBig Employment SUNSHINE,4WES,Western Victoria,VIC,MUSK
ESS,2919880,0212898K,AB11,AimBig Employment PARRAMATTA,4CWS,Northern Sydney,NSW,
ESS,7684049709,0212899A,AA91,AimBig Employment FAIRFIELD,4FAI,Western Sydney,NSW,
DMS,630040,0212831C,MM67,AimBig Employment ROCKINGHAM,4CWM,Western Australia,WA,MENH
ESS,933460119,0212892E,AC71,AimBig Employment ROSNY PARK,4HOB,Tasmania,TAS,
DMS,1044073809,0212831C,MM67,AimBig Employment ROCKINGHAM,4CWM,Western Australia,WA,
DMS,7073270006,,NULL,NULL,4WDO,NULL,NULL,
ESS,1101750109,0212898K,AB11,AimBig Employment PARRAMATTA,4CWS,Northern Sydney,NSW,
DMS,1112008003,0212827G,AD41,AimBig Employment PORT MACQUARIE,4HAS,Northern NSW,NSW,
ESS,768688209,0212892E,AC61,AimBig Employment GLENORCHY,4HOB,Tasmania,TAS,
DMS,7579282409,0212845J,AA51,AimBig Employment SURRY HILLS,4INS,Eastern Sydney,NSW,
DMS,788341809,0212877F,MN77,AimBig Employment TRARALGON,4LAV,Regional Victoria,VIC,
ESS,786802004,0212897K,AB61,AimBig Employment CHINCHILLA,4WDO,QLD South and West,QLD,
DMS,7591067019,0212820K,MN37,AimBig Employment EPPING,4PLE,Western Victoria,VIC,
DMS,799566509,0212826F,AD51,AimBig Employment COFFS HARBOUR,4COH,Northern NSW,NSW,AALL
ESS,770931709,0212891D,AC81,AimBig Employment WANGURI,4DAR,Northern Territory,NT,
DMS,7347180409,0212822B,MM87,AimBig Employment WERRIBEE,4WES,Western Victoria,VIC,
DMS,842424109,0212817E,AD81,AimBig Employment MOONEE PONDS,4CAL,Northern Victoria,VIC,AALL
ESS,882918909,0212889K,AD21,AimBig Employment INVERELL,4NEE,Northern NSW,NSW,
DMS,115850,0212844H,AA91,AimBig Employment FAIRFIELD,4FAI,Western Sydney,NSW,
DMS,9207886709,0212801H,MO17,AimBig Employment ROCKHAMPTON CITY,4CAP,QLD North,QLD,MUSK
DMS,9281452003,0212849B,AA11,AimBig Employment INGLEBURN,4MAC,South Western Sydney,NSW,
ESS,9424264003,0212897K,AB51,AimBig Employment DALBY,4WDO,QLD South and West,QLD,
DMS,687020,0212791K,MO77,AimBig Employment MILE END,4WEA,South Australia,SA,
DMS,3841020,0212849B,AA21,AimBig Employment CAMPBELLTOWN,4MAC,South Western Sydney,NSW,
DMS,2677090,0212793B,N687,AimBig Employment BURLEIGH HEADS,4GOC,QLD South and West,QLD,
DMS,612500,0212849B,AA11,AimBig Employment INGLEBURN,4MAC,South Western Sydney,NSW,
ESS,3948810,0212886G,AD81,AimBig Employment MOONEE PONDS,4CAL,Northern Victoria,VIC,
ESS,2854830,0212891D,AC81,AimBig Employment WANGURI,4DAR,Northern Territory,NT,
DMS,998300,0212793B,MO67,AimBig Employment SURFERS PARADISE,4GOC,QLD South and West,QLD,
ESS,4314210,0212902B,AA21,AimBig Employment CAMPBELLTOWN,4MAC,South Western Sydney,NSW,
DMS,4316960,0212827G,AD41,AimBig Employment PORT MACQUARIE,4HAS,Northern NSW,NSW,
DMS,3070620,0212845J,AA51,AimBig Employment SURRY HILLS,4INS,Eastern Sydney,NSW,
DMS,1747990,0212861J,AC51,AimBig Employment HOBART,4HOB,Tasmania,TAS,
DMS,3884430,0212833E,MM57,AimBig Employment JOONDALUP,4NOM,Western Australia,WA,
ESS,4257980,0212886G,AD81,AimBig Employment MOONEE PONDS,4CAL,Northern Victoria,VIC,
