,index,Contract_ID,Site_Name,specialist_site_type_code,actual_13_full,actual_26_full,actual_26_path,actual_26_wrkast,actual_52_full,actual_52_path,exPer_13_full,exPer_26_full,exPer_26_path,exPer_26_wrkast,exPer_52_full,exPer_52_path,52_full_avg,52_path_avg,26_wrkast_avg,26_full_avg,26_path_avg,26_full,26_path,26_wrkast,52_full,52_path,13_full,26_comb,52_comb,13_full_avg,26_comb_avg,52_comb_avg,overall_perScore,overall_perScore_avg,star_rating_perc,star_rating
0,0,0212790K,AimBig Employment PROSPECT,MUSK,40.0,100.0,0.5,0.5,100.0,0.5,20.0,100.0,0.5,0.5,200.0,0.5,100.0,0.5,0.5,100.0,0.5,1.0,1.0,1.0,0.5,1.0,0.304,1.828,0.0,0.0,1.828,1.125194805194805,2.132,2.953194805194805,-27.80699748456436,2.0
1,1,0212791K,AimBig Employment MILE END,MENH,36.84210526315789,17.24137931034483,9.090909090909092,0.5,4.0,0.5,26.31578947368421,24.137931034482758,9.090909090909092,0.5,28.000000000000004,0.5,4.0,0.5,0.5,17.24137931034483,9.090909090909092,0.7142857142857144,1.0,1.0,0.14285714285714285,1.0,0.14964448495897903,1.828,0.0,0.7989487516425756,1.828,0.0,1.9776444849589792,2.626948751642576,-24.717051152124697,2.0
2,2,0212791K,AimBig Employment Pty Ltd. SEATON,MENH,14.285714285714285,100.0,12.5,0.5,0.5,0.5,0.5,0.5,12.5,0.5,0.5,0.5,0.5,0.5,0.5,100.0,12.5,200.0,1.0,1.0,1.0,1.0,0.12116571428571428,1.828,0.0,0.18728571428571428,1.828,0.0,1.9491657142857144,2.0152857142857146,-3.2809243637910344,3.0
3,3,0212793B,AimBig Employment BURLEIGH HEADS,MENH,36.84210526315789,20.0,0.0,0.5,0.0,0.5,31.57894736842105,15.0,50.0,0.5,8.333333333333332,0.5,0.0,0.5,0.5,20.0,0.0,1.3333333333333333,0.0,1.0,0.0,1.0,0.11428571428571419,1.828,0.0,0.912,1.5614166666666667,0.0,1.9422857142857142,2.4734166666666666,-21.473573762917116,2.0
4,4,0212793B,AimBig Employment NERANG,MENH,38.46153846153847,100.0,0.5,0.5,100.0,0.5,23.076923076923077,66.66666666666666,0.5,0.5,200.0,0.5,100.0,0.5,0.5,100.0,0.5,1.5000000000000002,1.0,1.0,0.5,1.0,0.07600000000000014,1.828,0.0,0.0,1.828,1.125194805194805,1.9040000000000001,2.953194805194805,-35.527449911168176,2.0
5,5,0212793B,AimBig Employment SOUTHPORT,MENH,22.22222222222222,100.0,0.5,0.5,0.5,0.5,11.11111111111111,200.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,100.0,0.5,0.5,1.0,1.0,1.0,1.0,0.0,1.828,0.0,0.20976000000000003,1.828,0.0,1.828,2.03776,-10.29365577889447,3.0
6,6,0212793B,AimBig Employment SURFERS PARADISE,MENH,38.46153846153847,5.88235294117647,0.0,0.5,5.88235294117647,0.5,23.076923076923077,17.647058823529413,0.5,0.5,17.647058823529413,0.5,5.88235294117647,0.5,0.5,5.88235294117647,0.0,0.33333333333333326,0.0,1.0,0.33333333333333326,1.0,0.912,0.0,0.011287128712870787,0.912,0.038591111111111104,0.0,0.9232871287128708,0.9505911111111112,-2.87231619137757,3.0
7,7,0212795D,AimBig Employment CHERMSIDE,AALL,21.428571428571427,6.976744186046512,0.0,0.5,2.4390243902439024,0.5,7.142857142857142,4.651162790697675,0.5,0.5,7.317073170731707,0.5,2.4390243902439024,0.5,0.5,6.976744186046512,0.0,1.5,0.0,1.0,0.33333333333333337,1.0,0.912,1.2796,0.0,0.912,0.3899733333333334,0.0,2.1916,1.3019733333333334,68.32910044240538,5.0
8,8,0212795D,AimBig Employment FORTITUDE VALLEY,AALL,14.285714285714285,11.11111111111111,0.0,0.5,0.0,0.5,7.142857142857142,11.11111111111111,0.5,0.5,25.0,0.5,0.0,0.5,0.5,11.11111111111111,0.0,1.0,0.0,1.0,0.0,1.0,0.912,1.828,0.0,0.912,0.8842949999999999,0.0,2.74,1.796295,52.536192551891546,5.0
9,9,0212795D,AimBig Employment MITCHELTON,AALL,66.66666666666666,33.33333333333333,0.0,0.5,27.27272727272727,0.5,33.33333333333333,41.66666666666667,0.5,0.5,54.54545454545454,0.5,27.27272727272727,0.5,0.5,33.33333333333333,0.0,0.7999999999999998,0.0,1.0,0.5,1.0,0.912,1.0968000000000002,0.0,0.0,1.828,0.4638860630722279,2.0088000000000004,2.291886063072228,-12.351663882137167,3.0
