CONTRACT_ID,SITE_NAME,SPECIALTY_CD,NUMERATOR,DENOMINATOR
0212789F,AimBig Employment PROSPECT,MENH,19,95
0212789F,AimBig Employment MAYLANDS,MENH,0,1
0212789F,AimBig Employment DULWICH,MENH,0,2
0212790K,AimBig Employment DULWICH,MUSK,0,1
0212790K,AimBig Employment PROSPECT,MUSK,6,50
0212790K,AimBig Employment MAYLANDS,MUSK,1,3
0212792A,AimBig Employment MILE END,MUSK,7,34
0212792A,AimBig Employment Pty Ltd. SEATON,MUSK,2,6
0212791K,AimBig Employment MILE END,MENH,9,46
0212791K,AimBig Employment Pty Ltd. SEATON,MENH,2,5
0212793B,AimBig Employment NERANG,MENH,3,21
0212793B,AimBig Employment SOUTHPORT,MENH,5,17
0212793B,AimBig Employment Pty Ltd SOUTHPORT,MENH,0,0
0212793B,AimBig Employment SURFERS PARADISE,MENH,14,59
0212793B,AimBig Employment BURLEIGH HEADS,MENH,23,85
0212794C,AimBig Employment SOUTHPORT,MUSK,1,7
0212794C,AimBig Employment NERANG,MUSK,2,6
0212794C,AimBig Employment SURFERS PARADISE,MUSK,12,62
0212794C,AimBig Employment BURLEIGH HEADS,MUSK,3,18
0212795D,AimBig Employment MITCHELTON,AALL,8,30
0212879H,AimBig Employment MITCHELTON,AALL,10,52
0212879H,AimBig Employment CHERMSIDE,AALL,10,49
0212879H,AimBig Employment FORTITUDE VALLEY,AALL,10,65
0212879H,AimBig Employment TOOWONG,AALL,33,124
0212879H,AimBig Employment NORTH LAKES,AALL,24,117
0212795D,AimBig Employment TOOWONG,AALL,21,84
0212795D,AimBig Employment STRATHPINE,AALL,2,4
0212879H,AimBig Employment STRATHPINE,AALL,0,3
0212795D,AimBig Employment FORTITUDE VALLEY,AALL,4,33
0212795D,AimBig Employment CHERMSIDE,AALL,14,61
0212795D,AimBig Employment NORTH LAKES,AALL,39,152
0212797F,AimBig Employment UPPER MOUNT GRAVATT,MUSK,16,60
0212797F,AimBig Employment WOOLLOONGABBA,MUSK,6,35
0212797F,AimBig Employment INALA,MUSK,4,13
0212797F,AimBig Employment CAPALABA,MUSK,0,2
0212796E,AimBig Employment UPPER MOUNT GRAVATT,MENH,18,70
0212796E,AimBig Employment WOOLLOONGABBA,MENH,9,46
0212796E,AimBig Employment CAPALABA,MENH,2,3
0212796E,AimBig Employment INALA,MENH,7,42
0212875D,AimBig Employment CALOUNDRA,MUSK,4,15
0212874C,AimBig Employment CALOUNDRA,MENH,5,25
0212798G,AimBig Employment CAIRNS CITY,MENH,33,73
0212799H,AimBig Employment CAIRNS CITY,MUSK,6,28
0212801H,AimBig Employment ROCKHAMPTON CITY,MUSK,3,26
0212800G,AimBig Employment ROCKHAMPTON CITY,MENH,9,28
0212803K,AimBig Employment MACKAY,MUSK,2,20
0212802J,AimBig Employment MACKAY,MENH,5,40
0212804K,AimBig Employment AITKENVALE,MENH,17,70
0212805A,AimBig Employment AITKENVALE,MUSK,9,24
0212806B,AimBig Employment SALE,MENH,0,0
0212876E,AimBig Employment SALE,MUSK,0,0
0212878G,AimBig Employment TRARALGON,MUSK,0,0
0212877F,AimBig Employment TRARALGON,MENH,0,0
0212807C,AimBig Employment KALGOORLIE,AALL,0,0
0212880A,AimBig Employment KALGOORLIE,AALL,0,0
0212808D,AimBig Employment GERALDTON,MENH,0,0
0212811K,AimBig Employment BUNBURY,MUSK,3,17
0212810J,AimBig Employment BUNBURY,MENH,5,21
0212881B,AimBig Employment GOSFORD,AALL,3,28
0212881B,AimBig Employment WOY WOY,AALL,12,56
0212812K,AimBig Employment GOSFORD,AALL,4,22
0212812K,AimBig Employment KANWAL,AALL,14,37
0212812K,AimBig Employment ETTALONG BEACH,AALL,13,68
0212812K,AimBig Employment WOY WOY,AALL,11,29
0212812K,AimBig Employment THE ENTRANCE,AALL,11,33
0212881B,AimBig Employment THE ENTRANCE,AALL,11,58
0212881B,AimBig Employment KANWAL,AALL,23,98
0212881B,AimBig Employment ETTALONG BEACH,AALL,16,83
0212881B,AimBig Employment WYONG,AALL,7,37
0212812K,AimBig Employment WYONG,AALL,7,19
0212813A,AimBig Employment CESSNOCK,AALL,13,53
0212813A,AimBig Employment MAITLAND,AALL,8,42
0212882C,AimBig Employment CESSNOCK,AALL,9,42
0212882C,AimBig Employment MAITLAND,AALL,16,88
0212814B,AimBig Employment TAMWORTH,AALL,7,55
0212814B,AimBig Employment GUNNEDAH,AALL,0,15
0212883D,AimBig Employment GUNNEDAH,AALL,2,21
0212883D,AimBig Employment TAMWORTH,AALL,14,58
0212815C,AimBig Employment CHARLESTOWN,AALL,3,17
0212815C,AimBig Employment BROADMEADOW,AALL,21,65
0212884E,AimBig Employment CHARLESTOWN,AALL,2,11
0212884E,AimBig Employment BROADMEADOW,AALL,24,123
0212816D,AimBig Employment SINGLETON,AALL,11,29
0212885F,AimBig Employment SINGLETON,AALL,9,31
0212886G,AimBig Employment Pty Ltd COBURG,AALL,0,0
0212886G,AimBig Employment CRAIGIEBURN,AALL,19,102
0212886G,AimBig Employment BROADMEADOWS,AALL,36,106
0212886G,AimBig Employment MOONEE PONDS,AALL,34,183
0212886G,AimBig Employment Pty Ltd SUNBURY,AALL,0,1
0212817E,AimBig Employment BROADMEADOWS,AALL,39,115
0212817E,AimBig Employment CRAIGIEBURN,AALL,26,105
0212817E,AimBig Employment MOONEE PONDS,AALL,28,194
0212817E,AimBig Employment Pty Ltd COBURG,AALL,0,1
0212817E,AimBig Employment GLENROY,AALL,3,31
0212817E,AimBig Employment Pty Ltd SUNBURY,AALL,1,4
0212886G,AimBig Employment GLENROY,AALL,5,27
0212819G,AimBig Employment Pty Ltd MORNINGTON,MUSK,0,3
0212818F,AimBig Employment FRANKSTON,MENH,20,92
0212818F,AimBig Employment Pty Ltd CAPEL SOUND,MENH,0,0
0212818F,AimBig Employment Pty Ltd MORNINGTON,MENH,0,1
0212819G,AimBig Employment FRANKSTON,MUSK,7,31
0212820K,AimBig Employment Pty Ltd THOMASTOWN,MENH,0,6
0212821A,AimBig Employment Pty Ltd PRESTON,MUSK,0,0
0212821A,AimBig Employment EPPING,MUSK,6,23
0212821A,AimBig Employment HEIDELBERG,MUSK,4,11
0212821A,AimBig Employment Pty Ltd RESERVOIR,MUSK,3,11
0212820K,AimBig Employment Pty Ltd PRESTON,MENH,0,0
0212820K,AimBig Employment Pty Ltd RESERVOIR,MENH,4,10
0212821A,AimBig Employment Pty Ltd THOMASTOWN,MUSK,0,4
0212820K,AimBig Employment EPPING,MENH,14,94
0212820K,AimBig Employment HEIDELBERG,MENH,9,53
0212822B,AimBig Employment Pty Ltd ST ALBANS,MENH,1,11
0212822B,AimBig Employment Pty Ltd BACCHUS MARSH,MENH,1,5
0212822B,AimBig Employment TAYLORS LAKES,MENH,5,44
0212822B,AimBig Employment NEWPORT,MENH,9,49
0212822B,AimBig Employment SUNSHINE,MENH,9,36
0212822B,AimBig Employment WERRIBEE,MENH,25,124
0212822B,AimBig Employment Pty Ltd MELTON,MENH,0,8
0212822B,AimBig Employment Pty Ltd HOPPERS CROSSING,MENH,0,12
0212823C,AimBig Employment NEWPORT,MUSK,10,52
0212823C,AimBig Employment WERRIBEE,MUSK,15,73
0212823C,AimBig Employment SUNSHINE,MUSK,18,50
0212823C,AimBig Employment TAYLORS LAKES,MUSK,24,101
0212823C,AimBig Employment Pty Ltd HOPPERS CROSSING,MUSK,0,3
0212823C,AimBig Employment Pty Ltd ST ALBANS,MUSK,3,14
0212823C,AimBig Employment Pty Ltd MELTON,MUSK,2,10
0212824D,AimBig Employment MELBOURNE,MENH,12,51
0212825E,AimBig Employment MELBOURNE,MUSK,10,28
0212887H,AimBig Employment COFFS HARBOUR,AALL,9,45
0212826F,AimBig Employment NAMBUCCA HEADS,AALL,3,9
0212887H,AimBig Employment NAMBUCCA HEADS,AALL,0,8
0212826F,AimBig Employment COFFS HARBOUR,AALL,8,35
0212888J,AimBig Employment PORT MACQUARIE,AALL,12,41
0212827G,AimBig Employment PORT MACQUARIE,AALL,6,38
0212828H,AimBig Employment Pty Ltd. ARMIDALE,AALL,0,7
0212889K,AimBig Employment Pty Ltd. ARMIDALE,AALL,0,5
0212889K,AimBig Employment GLEN INNES,AALL,5,50
0212889K,AimBig Employment INVERELL,AALL,9,65
0212828H,AimBig Employment INVERELL,AALL,8,57
0212828H,AimBig Employment GLEN INNES,AALL,6,36
0212890C,AimBig Employment CASINO,AALL,3,14
0212890C,AimBig Employment LISMORE,AALL,1,26
0212829J,AimBig Employment CASINO,AALL,4,26
0212829J,AimBig Employment LISMORE,AALL,7,50
0212891D,AimBig Employment DARWIN CITY,AALL,1,2
0212891D,AimBig Employment CASUARINA,AALL,10,40
0212891D,AimBig Employment BERRIMAH,AALL,3,18
0212830B,AimBig Employment CASUARINA,AALL,9,36
0212830B,AimBig Employment BERRIMAH,AALL,8,24
0212830B,AimBig Employment DARWIN CITY,AALL,0,4
0212832D,AimBig Employment ROCKINGHAM,MUSK,5,36
0212831C,AimBig Employment ROCKINGHAM,MENH,16,77
0212833E,AimBig Employment OSBORNE PARK,MENH,1,9
0212833E,AimBig Employment JOONDALUP,MENH,16,48
0212834F,AimBig Employment JOONDALUP,MUSK,5,32
0212834F,AimBig Employment OSBORNE PARK OSBORNE PARK,MUSK,0,0
0212834F,AimBig Employment OSBORNE PARK,MUSK,0,1
0212836H,AimBig Employment DEAKIN,MUSK,0,10
0212836H,AimBig Employment PHILLIP,MUSK,1,3
0212835G,AimBig Employment DEAKIN,MENH,3,11
0212835G,AimBig Employment PHILLIP,MENH,3,11
0212897K,AimBig Employment ROMA,AALL,6,30
0212897K,AimBig Employment CHINCHILLA,AALL,5,41
0212897K,AimBig Employment DALBY,AALL,13,59
0212897K,AimBig Employment MILES,AALL,2,20
0212838K,AimBig Employment ROMA,AALL,7,22
0212838K,AimBig Employment CHINCHILLA,AALL,6,23
0212838K,AimBig Employment MILES,AALL,4,22
0212838K,AimBig Employment DALBY,AALL,14,64
0212839K,AimBig Employment CAMPSIE,MENH,19,55
0212839K,AimBig Employment BANKSTOWN,MENH,11,69
0212840D,AimBig Employment BANKSTOWN,MUSK,15,59
0212840D,AimBig Employment CAMPSIE,MUSK,9,25
0212841E,AimBig Employment MERRYLANDS,AALL,0,1
0212898K,AimBig Employment HORNSBY,AALL,3,32
0212898K,AimBig Employment MERRYLANDS,AALL,0,0
0212898K,AimBig Employment BAULKHAM HILLS,AALL,25,87
0212898K,AimBig Employment AUBURN,AALL,9,74
0212898K,AimBig Employment PARRAMATTA,AALL,21,93
0212841E,AimBig Employment AUBURN,AALL,21,92
0212841E,AimBig Employment BAULKHAM HILLS,AALL,13,54
0212841E,AimBig Employment PARRAMATTA,AALL,26,74
0212841E,AimBig Employment HORNSBY,AALL,3,22
0212842F,AimBig Employment BONDI JUNCTION,MENH,18,58
