CONTRACT_ID,SITE_NAME,SPECIALTY_CD,NUMERATOR,DENOMINATOR
0212789F,AimBig Employment PROSPECT,MENH,13,86
0212789F,AimBig Employment MAYLANDS,MENH,0,1
0212789F,AimBig Employment DULWICH,MENH,0,1
0212790K,AimBig Employment PROSPECT,MUSK,6,43
0212790K,AimBig Employment DULWICH,MUSK,0,1
0212790K,AimBig Employment MAYLANDS,MUSK,0,3
0212792A,AimBig Employment MILE END,MUSK,6,31
0212792A,AimBig Employment Pty Ltd. SEATON,MUSK,1,3
0212791K,AimBig Employment MILE END,MENH,7,46
0212791K,AimBig Employment Pty Ltd. SEATON,MENH,0,4
0212794C,AimBig Employment SOUTHPORT,MUSK,0,2
0212793B,AimBig Employment NERANG,MENH,2,15
0212793B,AimBig Employment SOUTHPORT,MENH,1,7
0212793B,AimBig Employment Pty Ltd SOUTHPORT,MENH,0,0
0212793B,AimBig Employment SURFERS PARADISE,MENH,10,45
0212793B,AimBig Employment BURLEIGH HEADS,MENH,25,76
0212794C,AimBig Employment NERANG,MUSK,1,5
0212794C,AimBig Employment BURLEIGH HEADS,MUSK,2,17
0212794C,AimBig Employment SURFERS PARADISE,MUSK,10,58
0212879H,AimBig Employment STRATHPINE,AALL,0,2
0212879H,AimBig Employment CHERMSIDE,AALL,8,46
0212879H,AimBig Employment MITCHELTON,AALL,7,47
0212795D,AimBig Employment STRATHPINE,AALL,1,4
0212795D,AimBig Employment FORTITUDE VALLEY,AALL,2,24
0212795D,AimBig Employment MITCHELTON,AALL,6,29
0212795D,AimBig Employment CHERMSIDE,AALL,9,56
0212795D,AimBig Employment TOOWONG,AALL,15,74
0212795D,AimBig Employment NORTH LAKES,AALL,32,131
0212879H,AimBig Employment TOOWONG,AALL,22,114
0212879H,AimBig Employment NORTH LAKES,AALL,19,97
0212879H,AimBig Employment FORTITUDE VALLEY,AALL,10,46
0212797F,AimBig Employment INALA,MUSK,3,11
0212797F,AimBig Employment UPPER MOUNT GRAVATT,MUSK,14,52
0212797F,AimBig Employment WOOLLOONGABBA,MUSK,3,23
0212797F,AimBig Employment CAPALABA,MUSK,0,2
0212796E,AimBig Employment UPPER MOUNT GRAVATT,MENH,17,69
0212796E,AimBig Employment WOOLLOONGABBA,MENH,7,42
0212796E,AimBig Employment INALA,MENH,6,25
0212796E,AimBig Employment CAPALABA,MENH,1,3
0212875D,AimBig Employment CALOUNDRA,MUSK,4,12
0212874C,AimBig Employment CALOUNDRA,MENH,6,25
0212798G,AimBig Employment CAIRNS CITY,MENH,22,60
0212799H,AimBig Employment CAIRNS CITY,MUSK,6,22
0212801H,AimBig Employment ROCKHAMPTON CITY,MUSK,4,24
0212800G,AimBig Employment ROCKHAMPTON CITY,MENH,8,24
0212803K,AimBig Employment MACKAY,MUSK,4,18
0212802J,AimBig Employment MACKAY,MENH,5,34
0212804K,AimBig Employment AITKENVALE,MENH,19,59
0212805A,AimBig Employment AITKENVALE,MUSK,7,22
0212806B,AimBig Employment SALE,MENH,0,0
0212876E,AimBig Employment SALE,MUSK,0,0
0212878G,AimBig Employment TRARALGON,MUSK,0,0
